file,date,R,C,man
1.47-9,2021-01-07,39100,24458,16148
1.46-2,2020-02-28,39022,24458,16110
1.45-11,2020-02-01,39003,24458,16111
1.44-9,2019-01-22,38871,24458,16027
1.42-8,2018-02-19,38837,24458,16023
1.41-6,2017-06-11,38781,24458,16024
1.40-8,2016-10-31,38752,24447,16024
1.39-5,2016-03-04,38739,24438,16026
1.38-4,2015-12-03,38552,24438,15979
1.37-11,2015-08-24,38969,24438,15991
1.36-6,2015-03-05,38948,24438,15991
1.35-3,2014-12-15,38562,24438,15875
1.34-17,2014-10-30,38562,24441,15875
1.33-7,2014-08-12,36322,23863,15524
1.32-11,2014-05-28,35684,24275,15609
1.31-9,2014-03-19,35302,23981,15492
1.30-4,2014-02-10,35197,23976,15412
1.29-2,2013-12-09,35145,23976,15399
1.28-19,2013-09-23,35144,23976,15397
1.27-10,2013-04-11,34934,24301,15183
1.26-14,2012-11-27,34345,22255,15160
1.25-15,2012-08-13,34264,22244,15150
1.24-9,2012-05-25,33959,22036,15114
1.23-16,2012-03-06,33950,22036,15102
1.22-21,2011-11-28,33497,21636,14876
1.21-2,2011-03-18,33189,21525,14982
1.20-15,2011-02-15,33179,21499,14978
1.19-20,2010-11-29,32956,21491,14919
1.18-7,2010-08-18,32346,21449,14475
1.17-39,2010-07-28,32274,21453,14391
1.16-6,2010-05-23,30616,19383,13357
1.15-15,2010-05-02,30537,19290,13301
1.14-2,2009-09-30,27790,15896,11040
1.13-7,2009-09-10,27791,15896,11040
1.12-26,2009-06-30,27510,15896,10943
1.11-12,2009-03-29,26343,14607,10485
1.10-27,2009-01-11,25489,14222,10474
1.09-43,2008-07-18,24343,14222,9582
1.08-56,2008-04-08,22691,14222,9003
1.07-12,2007-10-09,19295,13181,7632
1.06-43,2007-08-07,18659,12982,7512
1.05-2,2006-11-08,17650,12099,6979
1.04-53,2006-10-28,17647,12102,6979
1.03-14,2006-07-20,14807,10926,5621
1.02-26,2006-06-02,14284,10729,5502
1.01-9,2005-10-25,13709,9593,5435
1.00-18,2005-09-10,13366,9489,5381
0.99-24,2005-04-26,13076,9465,5324
0.98-57,2004-09-10,11942,7532,5030
0.97-22,2003-12-30,10132,7528,4684
0.96-5,2002-09-30,9260,7382,4391
0.92-3,2002-02-12,6277,6667,3445
0.85-4,2001-10-29,4833,3180,2782
